indicators,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Profit_tax,21,12,17,12,17,17,14,14,13,13,13
Inflation,7,9,19,9,7,4,1,3,4,4,3
GDP,106000000000,116000000000,136000000000,156000000000,171000000000,186000000000,193000000000,205000000000,224000000000,245000000000,262000000000
GDP_per_capita,1217,1318,1525,1735,1887,2030,2085,2192,2366,2567,2715
